Title,url,create_time
Brown's Requiem (1998),https://www.imdb.com/title/tt0171135/?ref_=fn_al_tt_1,2023-03-13 17:01:46.341338
"Ninth Gate, The (2000)",https://www.imdb.com/title/tt0142688/?ref_=fn_al_tt_1,2023-03-13 17:01:48.532898
Condo Painting (2000),https://www.imdb.com/title/tt0154352/?ref_=fn_al_tt_1,2023-03-13 17:01:50.714819
East-West (Est-ouest) (1999),https://www.imdb.com/title/tt0181530/?ref_=fn_al_tt_1,2023-03-13 17:01:52.915670
Where Eagles Dare (1969),https://www.imdb.com/title/tt0065207/?ref_=fn_al_tt_1,2023-03-13 17:01:55.157314
"Devil's Brigade, The (1968)",https://www.imdb.com/title/tt0062886/?ref_=fn_al_tt_1,2023-03-13 17:01:57.427810
Bound for Glory (1976),https://www.imdb.com/title/tt0074235/?ref_=fn_al_tt_1,2023-03-13 17:02:12.333536
Buck and the Preacher (1972),https://www.imdb.com/title/tt0068323/?ref_=fn_al_tt_1,2023-03-13 17:02:14.512427
Daughters of the Dust (1992),https://www.imdb.com/title/tt0104057/?ref_=fn_al_tt_1,2023-03-13 17:02:16.691444
Destination Moon (1950),https://www.imdb.com/title/tt0042393/?ref_=fn_al_tt_1,2023-03-13 17:02:18.931334
Hangmen Also Die (1943),https://www.imdb.com/title/tt0035966/?ref_=fn_al_tt_1,2023-03-13 17:02:33.865260
"Ogre, The (Der Unhold) (1996)",https://www.imdb.com/title/tt21781890/?ref_=fn_al_tt_1,2023-03-13 17:02:36.061132
Railroaded! (1947),https://www.imdb.com/title/tt0039748/?ref_=fn_al_tt_1,2023-03-13 17:02:38.221930
Slaves to the Underground (1997),https://www.imdb.com/title/tt0117664/?ref_=fn_al_tt_1,2023-03-13 17:02:40.478923
Song of Freedom (1936),https://www.imdb.com/title/tt0028282/?ref_=fn_al_tt_1,2023-03-13 17:02:42.719904
Big Fella (1937),https://www.imdb.com/title/tt0028629/?ref_=fn_al_tt_1,2023-03-13 17:02:44.907824
Who's That Girl? (1987),https://www.imdb.com/title/tt0094321/?ref_=fn_al_tt_1,2023-03-13 17:02:47.081300
Sesame Street Presents Follow That Bird (1985),https://www.imdb.com/title/tt0089994/?ref_=fn_al_tt_1,2023-03-13 17:02:49.297710
Baby... Secret of the Lost Legend (1985),https://www.imdb.com/title/tt0088760/?ref_=fn_al_tt_1,2023-03-13 17:02:51.526878
Captain Horatio Hornblower (1951),https://www.imdb.com/title/tt0043379/?ref_=fn_al_tt_1,2023-03-13 17:02:53.736553
"Carriers Are Waiting, The (Les Convoyeurs Attendent) (1999)",https://www.imdb.com/title/tt0201538/?ref_=fn_al_tt_1,2023-03-13 17:02:55.982553
Babymother (1998),https://www.imdb.com/title/tt0168475/?ref_=fn_al_tt_1,2023-03-13 17:02:58.138058
"Bear, The (1988)",https://www.imdb.com/title/tt0095800/?ref_=fn_al_tt_1,2023-03-13 17:03:00.329053
Impact (1949),https://www.imdb.com/title/tt0041503/?ref_=fn_al_tt_1,2023-03-13 17:03:02.748127
"Trial, The (Le Procès) (1963)",https://www.imdb.com/title/tt1034084/?ref_=fn_al_tt_1,2023-03-13 17:03:18.455764
Something for Everyone (1970),https://www.imdb.com/title/tt0066392/?ref_=fn_al_tt_1,2023-03-13 17:03:20.687167
...And Justice for All (1979),https://www.imdb.com/title/tt0078718/?ref_=fn_al_tt_1,2023-03-13 17:03:22.893203
Animal House (1978),https://www.imdb.com/title/tt0077975/?ref_=fn_al_tt_1,2023-03-13 17:03:25.146754
Coogan's Bluff (1968),https://www.imdb.com/title/tt0062824/?ref_=fn_al_tt_1,2023-03-13 17:03:27.362015
Creature Comforts (1990),https://www.imdb.com/title/tt0324742/?ref_=fn_al_tt_1,2023-03-13 17:03:29.574268
Cool as Ice (1991),https://www.imdb.com/title/tt0101615/?ref_=fn_al_tt_1,2023-03-13 17:03:31.812288
Born American (1986),https://www.imdb.com/title/tt0091313/?ref_=fn_al_tt_1,2023-03-13 17:03:34.150462
"Color of Paradise, The (Rang-e Khoda) (1999)",https://www.imdb.com/title/tt0191043/?ref_=fn_al_tt_1,2023-03-13 17:03:36.371901
Waking the Dead (1999),https://www.imdb.com/title/tt0259733/?ref_=fn_al_tt_1,2023-03-13 17:03:38.551308
Blood and Sand (Sangre y Arena) (1989),https://www.imdb.com/title/tt0098251/?ref_=fn_al_tt_1,2023-03-13 17:03:40.821677
Hillbillys in a Haunted House (1967),https://www.imdb.com/title/tt0061765/?ref_=fn_al_tt_1,2023-03-13 17:03:43.020036
Last Resort (1994),https://www.imdb.com/title/tt0110629/?ref_=fn_al_tt_1,2023-03-13 17:03:45.230824
Solar Crisis (1993),https://www.imdb.com/title/tt0100649/?ref_=fn_al_tt_1,2023-03-13 17:03:47.406123
That's Life! (1986),https://www.imdb.com/title/tt0092079/?ref_=fn_al_tt_1,2023-03-13 17:03:49.608247
Dersu Uzala (1974),https://www.imdb.com/title/tt0071411/?ref_=fn_al_tt_1,2023-03-13 17:03:51.821638
Horror Hotel (a.k.a. The City of the Dead) (1960),https://www.imdb.com/title/tt18642590/?ref_=fn_al_tt_1,2023-03-13 17:03:54.122010
Jonah Who Will Be 25 in the Year 2000 (1976),https://www.imdb.com/title/tt0074718/?ref_=fn_al_tt_1,2023-03-13 17:03:56.407479
Price of Glory (2000),https://www.imdb.com/title/tt0188160/?ref_=fn_al_tt_1,2023-03-13 17:03:58.661754
Devil Girl From Mars (1954),https://www.imdb.com/title/tt0046907/?ref_=fn_al_tt_1,2023-03-13 17:04:15.044576
"Dorado, El (1967)",https://www.imdb.com/title/tt0138749/?ref_=fn_al_tt_1,2023-03-13 17:04:17.249789
"Hideous Sun Demon, The (1959)",https://www.imdb.com/title/tt0052888/?ref_=fn_al_tt_1,2023-03-13 17:04:19.625509
Horror Express (1972),https://www.imdb.com/title/tt0068713/?ref_=fn_al_tt_1,2023-03-13 17:04:21.996908
My Chauffeur (1986),https://www.imdb.com/title/tt0091579/?ref_=fn_al_tt_1,2023-03-13 17:04:24.341150
Torso (Corpi Presentano Tracce di Violenza Carnale) (1973),https://www.imdb.com/title/tt0069920/?ref_=fn_al_tt_1,2023-03-13 17:04:26.684228
Roadside Prophets (1992),https://www.imdb.com/title/tt0105267/?ref_=fn_al_tt_1,2023-03-13 17:04:28.897004
Solaris (Solyaris) (1972),https://www.imdb.com/title/tt0069293/?ref_=fn_al_tt_1,2023-03-13 17:04:31.158115
Black and White (1999),https://www.imdb.com/title/tt0165643/?ref_=fn_al_tt_1,2023-03-13 17:04:33.405276
