name,url,create_time
Indian Summer (a.k.a. Alive & Kicking) (1996),"https://www.imdb.com/title/tt0116631/?ref_=nv_sr_srsg_1",
My Life in Pink (Ma vie en rose) (1997),"https://www.imdb.com/title/tt0119590/?ref_=nv_sr_srsg_0",
"Midaq Alley (Callejón de los milagros, El) (1995)","https://www.imdb.com/title/tt0112619/?ref_=fn_al_tt_1",
Ride (1998),"https://www.imdb.com/title/tt0120707/?ref_=nv_sr_srsg_0",
Cousin Bette (1998),"https://www.imdb.com/title/tt0118894/?ref_=nv_sr_srsg_0",
Friday the 13th Part 3: 3D (1982),"https://www.imdb.com/title/tt0083972/?ref_=nv_sr_srsg_0",
Child's Play 3 (1992),"https://www.imdb.com/title/tt0103956/?ref_=nv_sr_srsg_0",
East Palace West Palace (Dong gong xi gong) (1997),"https://www.imdb.com/title/tt0119007/?ref_=nv_sr_srsg_0",
Autumn Sonata (Höstsonaten ) (1978),"https://www.imdb.com/title/tt0077711/?ref_=nv_sr_srsg_0",
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)","https://www.imdb.com/title/tt0120692/?ref_=nv_sr_srsg_6",
"Inheritors, The (Die Siebtelbauern) (1998)","https://www.imdb.com/title/tt0141824/?ref_=nv_sr_srsg_0",
"Cruise, The (1998)","https://www.imdb.com/title/tt0150230/?ref_=nv_sr_srsg_1",
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),"https://www.imdb.com/title/tt13364334/?ref_=nv_sr_srsg_0",
"Karate Kid III, The (1989)","https://www.imdb.com/title/tt0097647/?ref_=nv_sr_srsg_0",
Children of the Corn III (1994),"https://www.imdb.com/title/tt0109415/?ref_=nv_sr_srsg_0",
"School of Flesh, The (L' École de la chair) (1998)","https://www.imdb.com/title/tt0157208/?ref_=nv_sr_srsg_1",
I Stand Alone (Seul contre tous) (1998),"https://www.imdb.com/title/tt0157016/?ref_=nv_sr_srsg_0",
"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)","https://www.imdb.com/title/tt0133363/?ref_=nv_sr_srsg_0",
Open Your Eyes (Abre los ojos) (1997),"https://www.imdb.com/title/tt0125659/?ref_=nv_sr_srsg_0",
Photographer (Fotoamator) (1998),"https://www.imdb.com/title/tt0188996/?ref_=nv_sr_srsg_0",
Mighty Peking Man (Hsing hsing wang) (1977),"https://www.imdb.com/title/tt0076164/?ref_=nv_sr_srsg_0",
Besieged (L' Assedio) (1998),"https://www.imdb.com/title/tt0149723/?ref_=nv_sr_srsg_0",
"Wolf Man, The (1941)","https://www.imdb.com/title/tt0034398/?ref_=nv_sr_srsg_0",
"Thing From Another World, The (1951)","https://www.imdb.com/title/tt0044121/?ref_=nv_sr_srsg_0",
Eternity and a Day (Mia eoniotita ke mia mera ) (1998),"https://www.imdb.com/title/tt0156794/?ref_=nv_sr_srsg_0",
"Legend of 1900, The (Leggenda del pianista sull'oceano) (1998)","https://www.imdb.com/title/tt0120731/?ref_=nv_sr_srsg_0",
"Late August, Early September (Fin août, début septembre) (1998)","https://www.imdb.com/title/tt0167925/?ref_=nv_sr_srsg_0",
Cabaret Balkan (Bure Baruta) (1998),"https://www.imdb.com/title/tt11009288/?ref_=nv_sr_srsg_1",
"Very Thought of You, The (1998)","https://www.imdb.com/title/tt0120747/?ref_=nv_sr_srsg_0",
"Black Cat, White Cat (Crna macka, beli macor) (1998)","https://www.imdb.com/title/tt0118843/?ref_=nv_sr_srsg_0",
"Communion (a.k.a. Alice, Sweet Alice/Holy Terror) (1977)","https://www.imdb.com/title/tt0076150/?ref_=nv_sr_srsg_0",
Operation Condor (Feiying gaiwak) (1990),"https://www.imdb.com/title/tt0099558/?ref_=nv_sr_srsg_0",
Operation Condor 2 (Longxiong hudi) (1990),"https://www.imdb.com/title/tt0091431/?ref_=nv_sr_srsg_3",
And the Ship Sails On (E la nave va) (1984),"https://www.imdb.com/title/tt0087188/?ref_=nv_sr_srsg_0",
"Grandfather, The (El Abuelo) (1998)","https://www.imdb.com/title/tt0176415/?ref_=nv_sr_srsg_0",
Citizen's Band (a.k.a. Handle with Care) (1977),"https://www.imdb.com/title/tt0076123/?ref_=nv_sr_srsg_1",
Drunken Master (Zui quan) (1979),"https://www.imdb.com/title/tt0080179/?ref_=nv_sr_srsg_0",
Time of the Gypsies (Dom za vesanje) (1989),"https://www.imdb.com/title/tt0097223/?ref_=nv_sr_srsg_0",
Man Facing Southeast (Hombre Mirando al Sudeste) (1986),"https://www.imdb.com/title/tt0091214/?ref_=nv_sr_srsg_0",
