Title,url,create_time
Zachariah (1971),https://www.imdb.com/title/tt0068011/?ref_=fn_al_tt_1,2023-03-13 17:12:45.248851
Isn't She Great? (2000),https://www.imdb.com/title/tt0141399/?ref_=fn_al_tt_1,2023-03-13 17:13:00.278304
"Cup, The (Phörpa) (1999)",https://www.imdb.com/title/tt17286358/?ref_=fn_al_tt_1,2023-03-13 17:13:02.531313
Santitos (1997),https://www.imdb.com/title/tt0126651/?ref_=fn_al_tt_1,2023-03-13 17:13:04.762400
Hard-Boiled (Lashou shentan) (1992),https://www.imdb.com/title/tt26819783/?ref_=fn_al_tt_1,2023-03-13 17:13:19.807514
Man Bites Dog (C'est arrivé près de chez vous) (1992),https://www.imdb.com/title/tt0103905/?ref_=fn_al_tt_1,2023-03-13 17:13:22.124553
"Mariachi, El (1992)",https://www.imdb.com/title/tt0104815/?ref_=fn_al_tt_1,2023-03-13 17:13:24.369148
Gendernauts (1999),https://www.imdb.com/title/tt0192069/?ref_=fn_al_tt_1,2023-03-13 17:13:39.398129
Knockout (1999),https://www.imdb.com/title/tt0196857/?ref_=fn_al_tt_1,2023-03-13 17:13:41.664975
Different for Girls (1996),https://www.imdb.com/title/tt0116102/?ref_=fn_al_tt_1,2023-03-13 17:13:43.932037
Cotton Mary (1999),https://www.imdb.com/title/tt0159373/?ref_=fn_al_tt_1,2023-03-13 17:13:46.185680
Not One Less (Yi ge dou bu neng shao) (1999),https://www.imdb.com/title/tt0209189/?ref_=fn_al_tt_1,2023-03-13 17:13:48.493106
Soft Toilet Seats (1999),https://www.imdb.com/title/tt0171764/?ref_=fn_al_tt_1,2023-03-13 17:13:50.764540
Trois (2000),https://www.imdb.com/title/tt0217107/?ref_=fn_al_tt_1,2023-03-13 17:13:53.000993
"Big Combo, The (1955)",https://www.imdb.com/title/tt0047878/?ref_=fn_al_tt_1,2023-03-13 17:13:55.263093
Conceiving Ada (1997),https://www.imdb.com/title/tt0118882/?ref_=fn_al_tt_1,2023-03-13 17:13:57.533088
With Byrd at the South Pole (1930),https://www.imdb.com/title/tt0020594/?ref_=fn_al_tt_1,2023-03-13 17:13:59.814568
Black Tar Heroin: The Dark End of the Street (1999),https://www.imdb.com/title/tt0221023/?ref_=fn_al_tt_1,2023-03-13 17:14:02.262872
Blue Collar (1978),https://www.imdb.com/title/tt0077248/?ref_=fn_al_tt_1,2023-03-13 17:14:04.526831
Bluebeard (1944),https://www.imdb.com/title/tt0036653/?ref_=fn_al_tt_1,2023-03-13 17:14:06.782652
"Dog's Life, A (1920)",https://www.imdb.com/title/tt0057318/?ref_=fn_al_tt_1,2023-03-13 17:14:09.050088
"Man from Laramie, The (1955)",https://www.imdb.com/title/tt0048342/?ref_=fn_al_tt_1,2023-03-13 17:14:11.348056
"McCullochs, The (1975)",https://www.imdb.com/title/tt0073902/?ref_=fn_al_tt_1,2023-03-13 17:14:13.645574
"Big Trees, The (1952)",https://www.imdb.com/title/tt0044420/?ref_=fn_al_tt_1,2023-03-13 17:14:15.981016
Deterrence (1998),https://www.imdb.com/name/nm3992415/?ref_=fn_al_nm_1,2023-03-13 17:14:18.283572
Judy Berlin (1999),https://www.imdb.com/title/tt0181618/?ref_=fn_al_tt_1,2023-03-13 17:14:20.552359
Mifune (Mifunes sidste sang) (1999),https://www.imdb.com/title/tt0164756/?ref_=fn_al_tt_1,2023-03-13 17:14:22.865453
"Waiting Game, The (2000)",https://www.imdb.com/title/tt7171976/?ref_=fn_al_tt_1,2023-03-13 17:14:25.211256
3 Strikes (2000),https://www.imdb.com/title/tt0199290/?ref_=fn_al_tt_1,2023-03-13 17:14:27.597665
Beyond the Mat (2000),https://www.imdb.com/title/tt0218043/?ref_=fn_al_tt_1,2023-03-13 17:14:29.879860
"Legend of Lobo, The (1962)",https://www.imdb.com/title/tt0056173/?ref_=fn_al_tt_1,2023-03-13 17:14:32.182177
"Killing of Sister George, The (1968)",https://www.imdb.com/title/tt0063185/?ref_=fn_al_tt_1,2023-03-13 17:14:34.519083
Jail Bait (1954),https://www.imdb.com/title/tt0047127/?ref_=fn_al_tt_1,2023-03-13 17:14:36.807710
It Happened Here (1961),https://www.imdb.com/title/tt0055024/?ref_=fn_al_tt_1,2023-03-13 17:14:39.227269
I'll Never Forget What's 'is Name (1967),https://www.imdb.com/title/tt0061801/?ref_=fn_al_tt_1,2023-03-13 17:14:43.552106
Cross of Iron (1977),https://www.imdb.com/title/tt0074695/?ref_=fn_al_tt_1,2023-03-13 17:14:45.917226
Bride of the Monster (1956),https://www.imdb.com/title/tt13249596/?ref_=fn_al_tt_1,2023-03-13 17:14:48.235980
