name,url,create_time
"Star Maker, The (Uomo delle stelle, L') (1995)","https://www.imdb.com/title/tt0114808/?ref_=nv_sr_srsg_0",
"Silence of the Palace, The (Saimt el Qusur) (1994)","https://www.imdb.com/title/tt0111055/?ref_=nv_sr_srsg_0",
To Live (Huozhe) (1994),"https://www.imdb.com/title/tt0110081/?ref_=nv_sr_srsg_0",
"Walking Dead, The (1995)","https://www.imdb.com/title/tt0114888/?ref_=nv_sr_srsg_2",
I Don't Want to Talk About It (De eso no se habla) (1993),"https://www.imdb.com/title/tt0106678/?ref_=nv_sr_srsg_0",
"Bye Bye, Love (1995)","https://www.imdb.com/title/tt0112606/?ref_=nv_sr_srsg_0",
Bread and Chocolate (Pane e cioccolata) (1973),"https://www.imdb.com/title/tt0070506/?ref_=nv_sr_srsg_0",
"Flower of My Secret, The (La Flor de Mi Secreto) (1995)","https://www.imdb.com/title/tt0113083/?ref_=nv_sr_srsg_0",
"Little Indian, Big City (Un indien dans la ville) (1994)","https://www.imdb.com/title/tt0111543/?ref_=nv_sr_srsg_0",
Cold Fever (Á köldum klaka) (1994),"https://www.imdb.com/title/tt0109028/?ref_=nv_sr_srsg_0",
"Eye of Vichy, The (Oeil de Vichy, L') (1993)","https://www.imdb.com/title/tt0107727/?ref_=nv_sr_srsg_0",
"Promise, The (Versprechen, Das) (1994)","https://www.imdb.com/title/tt0111613/?ref_=nv_sr_srsg_0",
Under the Domin Tree (Etz Hadomim Tafus) (1994),"https://www.imdb.com/title/tt0109751/?ref_=nv_sr_srsg_0",
"Visitors, The (Les Visiteurs) (1993)","https://www.imdb.com/title/tt0108500/?ref_=fn_al_tt_1",
"Jar, The (Khomreh) (1992)","https://www.imdb.com/title/tt0104606/?ref_=nv_sr_srsg_0",
Wend Kuuni (God's Gift) (1982),"https://www.imdb.com/title/tt0084898/?ref_=nv_sr_srsg_0",
"I, Worst of All (Yo, la peor de todas) (1990)","https://www.imdb.com/title/tt0100990/?ref_=nv_sr_srsg_0",
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",,
"Big Squeeze, The (1996)","https://www.imdb.com/title/tt0115680/?ref_=nv_sr_srsg_1",
Police Story 4: Project S (Chao ji ji hua) (1993),"https://www.imdb.com/title/tt0106544/?ref_=nv_sr_srsg_3",
Bitter Sugar (Azucar Amargo) (1996),"https://www.imdb.com/title/tt0115600/?ref_=nv_sr_srsg_2",
"Murder, My Sweet (1944)","https://www.imdb.com/title/tt0037101/?ref_=nv_sr_srsg_2",
My Life as a Dog (Mitt liv som hund) (1985),"https://www.imdb.com/title/tt0089606/?ref_=nv_sr_srsg_1",
Until the End of the World (Bis ans Ende der Welt) (1991),,
Zero Kelvin (Kjærlighetens kjøtere) (1995),"https://www.imdb.com/title/tt0113557/?ref_=nv_sr_srsg_0",
"Forbidden Christ, The (Cristo proibito, Il) (1950)","https://www.imdb.com/title/tt0042354/?ref_=nv_sr_srsg_0",
Temptress Moon (Feng Yue) (1996),"https://www.imdb.com/title/tt0116295/?ref_=nv_sr_srsg_0",
"Next Step, The (1995)","https://www.imdb.com/title/tt0113968/?ref_=nv_sr_srsg_5",
When the Cats Away (Chacun cherche son chat) (1996),"https://www.imdb.com/title/tt0115856/?ref_=nv_sr_srsg_0",
Contempt (Le Mépris) (1963),"https://www.imdb.com/title/tt0057345/?ref_=nv_sr_srsg_0",
