Title,url,create_time
White Boys (1999),https://www.imdb.com/title/tt0178988/?ref_=fn_al_tt_1,2023-03-13 17:03:29.554118
"Adventures of Milo and Otis, The (1986)",https://www.imdb.com/title/tt0097050/?ref_=fn_al_tt_1,2023-03-13 17:03:31.773974
Othello (1952),https://www.imdb.com/title/tt0114057/?ref_=fn_al_tt_1,2023-03-13 17:03:33.951305
Queens Logic (1991),https://www.imdb.com/title/tt0102741/?ref_=fn_al_tt_1,2023-03-13 17:03:36.115026
Public Access (1993),https://www.imdb.com/title/tt0107895/?ref_=fn_al_tt_1,2023-03-13 17:03:38.280063
Saturn 3 (1979),https://www.imdb.com/title/tt0079285/?ref_=fn_al_tt_1,2023-03-13 17:03:40.436893
Don't Look in the Basement! (1973),https://www.imdb.com/title/tt0069994/?ref_=fn_al_tt_1,2023-03-13 17:03:55.375638
Nightmares (1983),https://www.imdb.com/title/tt0086014/?ref_=fn_al_tt_1,2023-03-13 17:03:57.541783
Caligula (1980),https://www.imdb.com/title/tt0080491/?ref_=fn_al_tt_1,2023-03-13 17:03:59.709357
Splendor (1999),https://www.imdb.com/title/tt0127296/?ref_=fn_al_tt_1,2023-03-13 17:04:01.867452
Fright Night Part II (1989),https://www.imdb.com/title/tt0097390/?ref_=fn_al_tt_1,2023-03-13 17:04:04.151633
"Separation, The (La Séparation) (1994)",https://www.imdb.com/title/tt0111342/?ref_=fn_al_tt_1,2023-03-13 17:04:06.375073
Lulu on the Bridge (1998),https://www.imdb.com/title/tt0125879/?ref_=fn_al_tt_1,2023-03-13 17:04:08.599172
Plunkett & MaCleane (1999),https://www.imdb.com/title/tt0134033/?ref_=fn_al_tt_1,2023-03-13 17:04:36.248145
Napoleon and Samantha (1972),https://www.imdb.com/title/tt0068990/?ref_=fn_al_tt_1,2023-03-13 17:04:38.431109
Rain (1932),https://www.imdb.com/title/tt0023369/?ref_=fn_al_tt_1,2023-03-13 17:04:53.300658
"Five Wives, Three Secretaries and Me (1998)",https://www.imdb.com/title/tt0150574/?ref_=fn_al_tt_1,2023-03-13 17:04:55.531521
"Ennui, L' (1998)",https://www.imdb.com/title/tt0168740/?ref_=fn_al_tt_1,2023-03-13 17:04:57.690584
"Mating Habits of the Earthbound Human, The (1998)",https://www.imdb.com/title/tt0165874/?ref_=fn_al_tt_1,2023-03-13 17:05:12.607756
Molly (1999),https://www.imdb.com/title/tt0143746/?ref_=fn_al_tt_1,2023-03-13 17:05:14.773027
Children of Paradise (Les enfants du paradis) (1945),https://www.imdb.com/title/tt0037674/?ref_=fn_al_tt_1,2023-03-13 17:05:17.013427
High Plains Drifter (1972),https://www.imdb.com/title/tt0068699/?ref_=fn_al_tt_1,2023-03-13 17:05:19.203352
Hang 'em High (1967),https://www.imdb.com/title/tt0061747/?ref_=fn_al_tt_1,2023-03-13 17:05:21.405866
"Conformist, The (Il Conformista) (1970)",https://www.imdb.com/title/tt0065571/?ref_=fn_al_tt_1,2023-03-13 17:05:49.060089
Brief Encounter (1946),https://www.imdb.com/title/tt0037558/?ref_=fn_al_tt_1,2023-03-13 17:05:51.247792
"Fire Within, The (Le Feu Follet) (1963)",https://www.imdb.com/title/tt0057058/?ref_=fn_al_tt_1,2023-03-13 17:06:06.182138
